Time,Obstacle Distance,Obstacle Height,Obstacle Size,Velocity,Dino Jumping,Dino Ducking,Action
100,563.7606201171875,341.0,39.0,301.0,0.0,0.0,2
200,533.3104248046875,341.0,39.0,302.0,0.0,0.0,2
400,472.712158203125,341.0,39.0,304.0,0.0,0.0,2
700,381.0651550292969,341.0,39.0,307.0,0.0,0.0,2
900,319.15814208984375,341.0,39.0,309.0,0.0,0.0,2
1000,288.51812744140625,341.0,39.0,310.0,0.0,0.0,2
1100,257.4691162109375,341.0,39.0,311.0,0.0,0.0,2
1400,163.72215270996094,341.0,39.0,314.0,0.0,0.0,2
1500,132.27322387695312,341.0,39.0,315.0,0.0,0.0,2
1510,129.12283325195312,341.0,39.0,315.1000061035156,1.0,0.0,0
1700,68.75827026367188,341.0,39.0,317.0,1.0,0.0,2
1800,37.32632064819336,341.0,39.0,318.0,1.0,0.0,2
1900,5.158370018005371,341.0,39.0,319.0,1.0,0.0,2
2000,290.98779296875,320.0,30.0,320.0,1.0,0.0,2
2206,225.8199005126953,320.0,30.0,322.05999755859375,1.0,1.0,1
2500,130.7052001953125,320.0,30.0,325.0,0.0,1.0,2
2700,65.5073471069336,320.0,30.0,327.0,0.0,1.0,2
2900,432.0907287597656,344.0,36.0,329.0,0.0,1.0,2
